"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"Derby and Derbyshire Serious Violence Board Strategic Needs Assessment","2024","HNA","Serious Violence Derbyshire Strategic Needs Assessment from the Derby and Derbyshire Serious Violence Board 2024","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2024/Derby_and_Derbyshire_Serious_Violence_Strategic_Needs_Assessment_2024.pdf","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Derbyshire Services and Helpline",NA,"Link","Support services and helplines for people experiencing domestic abuse and their family and friends.","https://www.derbyshire.gov.uk/social-health/children-and-families/support-for-families/domestic-abuse/domestic-abuse.aspx","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Glow Independent Domestic Violence Advisor (IDVSA) Service",NA,"Link","Glow are commissioned to provide the IDVA service in Derbyshire, which provides practical and emotional support to high-risk victims, helping them with safety planning and navigating the criminal justice system.","https://findtheglow.org.uk/","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Crossroads Derbyshire",NA,"Link","Crossroads provides services and support for adults and children experiencing domestic abuse, which includes both accommodation and community-based support across Derbyshire.","https://www.crossroadsderbyshire.org/","Domestic Abuse","Stay Well",NA,NA,NA,NA
"The Elm Foundation",NA,"Link","The Elm Foundation provides services and support for adults and children experiencing domestic abuse, which includes both accommodation and community-based support across Derbyshire.","https://www.theelmfoundation.org.uk/","Domestic Abuse","Stay Well",NA,NA,NA,NA
"NCHA Derbyshire Wish",NA,"Link","NCHA Derbyshire WISH provides services and support for adults and children experiencing domestic abuse, which includes both accommodation and community-based support across Derbyshire.","https://www.ncha.org.uk/care-and-support/services-and-care-homes/all-care-homes-and-services/ncha-derbyshire-wish/","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Derbyshire Domestic Abuse Helpline",NA,"Link","Available 24/7, this helpline provides immediate support and guidance for victims of domestic abuse.","https://www.derbyshiredomesticabusehelpline.co.uk/","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Lancet series - commercial determinants of health","2023","Report","A new Lancet Series on the commercial determinants of health provides recommendations and frameworks to foster a better understanding of the diversity of the commercial world.","https://www.thelancet.com/series-do/commercial-determinants-health","Commercial determinants of health","Healthy Places",NA,NA,NA,NA
"Adfree Cities",NA,"Link","Adfree Cities is a network of groups challenging corporate outdoor advertising and reclaiming public space for art, community and nature.","https://adfreecities.org.uk/","Commercial determinants of health","Healthy Places",NA,NA,NA,NA
"Sheffield City Council advertising and sponsorship policy","2024","Policy","Policy setting out the terms upon which advertising and sponsorship may be sought and accepted by Sheffield City Council.","https://democracy.sheffield.gov.uk/documents/s66761/Appendix%201%20-%20Sheffield%20City%20Council%20Advertising%20and%20Sponsorship%20Policy%202024-2026.pdf","Commercial determinants of health","Healthy Places",NA,NA,NA,NA
"Association of Directors of Public Health - CDOH Essentials",NA,"Link","CDOH Essentials is a set of materials designed for public health professionals to use to plan and run an introductory workshop or briefing session on CDOH for both public health teams and key internal partners within local authorities.","https://www.adph.org.uk/2024/04/cdoh-essentials/","Commercial determinants of health","Healthy Places",NA,NA,NA,NA
"Derbyshire County Council - Food Insecurity in Derbyshire: A Health Needs Assessment","2023","Report","This report is a Health Needs Assessment of food insecurity in Derbyshire. It will inform future planning and commissioning to support the local population on this issue.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/Food_Insecurity_HNA.pdf","Food and Nutrition","All",NA,NA,NA,NA
"National Food Strategy - The Plan","2021","Strategy","Observation of how the food system works, the damage it is doing to our bodies and our ecosystem, and the interventions we could make to prevent these harms.","https://www.nationalfoodstrategy.org/","Food and Nutrition","All",NA,NA,NA,NA
"Whole systems approach to obesity (gov.uk)",NA,"Link","A guide and set of resources to support local authorities with implementing a whole systems approach to address obesity and promote a healthy weight.","https://www.gov.uk/government/publications/whole-systems-approach-to-obesity","Food and Nutrition","All",NA,NA,NA,NA
"Joined Up Care Derbyshire - Infant Feeding in Derby and Derbyshire","2022","Strategy","This initiative represents a shared commitment among partners to work collaboratively to optimise infant nutrition, focusing on the first two years of life.","https://derbyshireinvolvement.co.uk/infantfeeding","Food and Nutrition","All",NA,NA,NA,NA
"Rural Action Derbyshire",NA,"Link","Resource for accessing food support and joining the network of food support providers.","https://www.ruralactionderbyshire.org.uk/Pages/Category/feeding-derbyshire-home","Food and Nutrition","All",NA,NA,NA,NA
"Live Life Better Derbyshire",NA,"Link","Information on a wide range of topics including stopping smoking, weight management and advice on how to get more active.","https://www.livelifebetterderbyshire.org.uk/services/services.aspx","Food and Nutrition","All","Bowel Cancer",NA,NA,NA
"Live Life Better Derbyshire - Healthy Families",NA,"Link","Information on topics including Healthier Futures Programme, the National Child Measurement Programme and supporting your child to be healthy.","https://www.livelifebetterderbyshire.org.uk/services/family-health/healthy-families.aspx","Food and Nutrition","All",NA,NA,NA,NA
"Healthy Start Scheme NHS",NA,"Link","Information for those who are more than 10 weeks pregnant or have a child under 4, as they may be entitled to get help to buy healthy food and milk.","https://www.healthystart.nhs.uk/","Food and Nutrition","All",NA,NA,NA,NA
"Free school meals and Pupil Premium funding - Derbyshire County Council",NA,"Link","Information regarding free school meals and Pupil Premium funding.","https://www.derbyshire.gov.uk/education/schools/your-child-at-school/meals/school-meals/free-school-meals.aspx","Food and Nutrition","All",NA,NA,NA,NA
"Eating a balanced diet NHS",NA,"Link","Healthy eating advice for the general population.","https://www.nhs.uk/live-well/eat-well/how-to-eat-a-balanced-diet/eating-a-balanced-diet/","Food and Nutrition","All",NA,NA,NA,NA
"It's About Me Derbyshire",NA,"Link","Information regarding the Department for Education funded holiday clubs in Derbyshire.","https://itsaboutmederbyshire.co.uk/","Food and Nutrition","All",NA,NA,NA,NA
"ICB ranking - Access to specialist perinatal mental health services",NA,"Link","ICB ranking of the Access to specialist perinatal mental health services indicator on Fingertips","https://fingertips.phe.org.uk/search/perinatal#page/3/gid/1/pat/15/ati/221/are/nE54000058/iid/94089/age/316/sex/2/cat/-1/ctp/-1/yrr/3/cid/4/tbm/1/page-options/car-do-0","Perinatal MH","Start Well",NA,NA,NA,NA
"County ranking - Access to specialist perinatal mental health services",NA,"Link","County ranking of the Access to specialist perinatal mental health services indicator on Fingertips","https://fingertips.phe.org.uk/search/perinatal#page/3/gid/1/pat/15/ati/502/are/E06000015/iid/94089/age/316/sex/2/cat/-1/ctp/-1/yrr/3/cid/4/tbm/1/page-options/car-do-0","Perinatal MH","Start Well",NA,NA,NA,NA
"ICB ranking - Model-based estimated prevalence of perinatal mental health conditions",NA,"Link","ICB ranking of the Model-based estimated prevalence of perinatal mental health conditions indicator on Fingertips","https://fingertips.phe.org.uk/search/perinatal#page/3/gid/1938132957/pat/15/ati/221/are/nE54000058/iid/94103/age/332/sex/2/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1/page-options/car-do-0","Perinatal MH","Start Well",NA,NA,NA,NA
"Gamesley Community Needs Assessment 2025","2025","HNA","Gamesley Community Needs Assessment: “… I think we need help to do things, if we had the tools to do things we’d do them”. Community needs assesment to identify and understand Gamesley community's health and wellbeing needs.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2025/Gamesley_Community_Needs_Assessment_2025.pdf","High Peak","All",NA,NA,NA,NA
"Derbyshire Local Offer",NA,"Link","Derbyshire Local Offer provides information and support available to help children and young people with SEND to be more confident in their communities and live indepedently. Information is available on early years (0-5 years), education and learning (5-16 years), preparing for adulthood (16-25 years), travel and transport, and health and wellbeing. A searchable directory of local SEND services, support groups, activities and leisure opportunities is also available.","https://www.localoffer.derbyshire.gov.uk/home.aspx","SEND","Start Well","CSEMH","Neurodiversity",NA,NA
"Children and Young People with Special Educational Needs and Disabilities in Derbyshire: Review of Local Data","2025","Report","Review of the local data relating to children and young people with special educational needs and disabilities in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2025/SEND_Local_Data_Review_2025.pdf","SEND","Start Well",NA,NA,NA,NA
"NHS vaccination strategy","2024","Strategy","NHS vaccination strategy","https://www.england.nhs.uk/long-read/nhs-vaccination-strategy/","Flu","Stay Well",NA,NA,NA,NA
"The views of staff working with under 5-year-olds in providing flu vaccine information","2025","Report","The views of staff working with under 5-year-olds in providing flu vaccine information","https://www.healthwatchderbyshire.co.uk/reports-and-publications/staff-flu-for-under-five","Flu","Start Well",NA,NA,NA,NA
"The Views of Parents and Guardians on Baby and Toddler Flu Vaccinations","2024","Report","The Views of Parents and Guardians on Baby and Toddler Flu Vaccinations","https://www.healthwatchderbyshire.co.uk/reports-and-publications/baby-and-toddler-flu-vaccinations","Flu","Start Well",NA,NA,NA,NA
"Views on Flu and COVID Vaccinations","2024","Report","Views on Flu and COVID Vaccinations","https://www.healthwatchderbyshire.co.uk/reports-and-publications/av-flu-and-covid-vaccinations","Flu","Stay Well",NA,NA,NA,NA
"Moving the Needle","2019","Report","Moving the Needle Promoting Vaccination Uptake Across the Lifecourse","https://www.rsph.org.uk/static/uploaded/3b82db00-a7ef-494c-85451e78ce18a779.pdf","Flu","Stay Well",NA,NA,NA,NA
"Annual flu programme",NA,"Link","Annual flu programme","https://www.gov.uk/government/collections/annual-flu-programme","Flu","Stay Well",NA,NA,NA,NA
"Flu vaccination guidance for social care workers and carers",NA,"Link","Flu vaccination guidance for social care workers and carers","https://www.gov.uk/government/publications/flu-immunisation-for-social-care-staff/flu-vaccination-guidance-for-social-care-workers","Flu","Stay Well",NA,NA,NA,NA
"Flu Immunisation",NA,"Link","Flu Immunisation","https://www.e-lfh.org.uk/programmes/flu-immunisation/","Flu","Stay Well",NA,NA,NA,NA
"Flu vaccinations: supporting people with learning disabilities",NA,"Link","Flu vaccinations: supporting people with learning disabilities","https://www.gov.uk/government/publications/flu-vaccinations-for-people-with-learning-disabilities/flu-vaccinations-supporting-people-with-learning-disabilities","Flu","Stay Well",NA,NA,NA,NA
"Health Publications",NA,"Link","Health Publications","https://www.healthpublications.gov.uk/Home.html","Flu","Stay Well",NA,NA,NA,NA
"UKHSA E-bug Health Education Programme",NA,"Link","UKHSA E-bug Health Education Programme","https://www.e-bug.eu/search?search=flu","Flu","Stay Well",NA,NA,NA,NA
"Affordable Credit Project Evaluation","2025","Report","Growing Financial Resilience: Affordable Credit Project Evaluation","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2025/DCC_Affordable_Credit.pdf","Financial Inclusion","Stay Well",NA,NA,NA,NA
"The Healthy North East Derbyshire Plan, 2024 to 2029","2024","Report","A partnership plan highlighting and addressing key priorities to protect, promote and improve the health and wellbeing of people within North East Derbyshire, supporting collaborative working amongst stakeholders from across various sectors and a review of how public health locality funds in North East Derbyshire are allocated to address the local need.","https://www.ne-derbyshire.gov.uk/about-the-council/partnerships/healthy-ned-partnership","North East Derbyshire","Stay Well",NA,NA,NA,NA
